Cabecalho;;;;;                                                                                                                                                                                                                                  
Competencia;01/01/2026;Conta Banco;8;Saldo Inicial;0                                                                                                                                                                                            
Lancamentos;;;;;                                                                                                                                                                                                                                
Data;Historico;Documento;Valor Debito (Soma);Valor Credito (Subtrai);                                                                                                                                                                           
01/01/2026;QR Code Pix enviado - Hotel Montecarlo;1;;164;                                                                                                                                                                                       
02/01/2026;Rendimento da conta - Rendimento liquido sobre dinheiro em conta;2;0,02;;                                                                                                                                                            
03/01/2026;QR Code Pix enviado - Supermercado Kraus Ltda;3;;134,31;                                                                                                                                                                             
03/01/2026;Rendimento da conta - Rendimento liquido sobre dinheiro em conta;4;0,02;;                                                                                                                                                            
05/01/2026;Vendas - Disponivel DEBITO MASTERCARD;5;69,51;;                                                                                                                                                                                      
05/01/2026;Vendas - Disponivel CREDITO MASTERCARD;6;46,54;;                                                                                                                                                                                     
05/01/2026;Vendas - Disponivel DEBITO VISA;7;41,12;;                                                                                                                                                                                            
05/01/2026;Rendimento da conta - Rendimento liquido sobre dinheiro em conta;8;0,02;;                                                                                                                                                            
06/01/2026;Vendas - Disponivel CREDITO VISA;9;33,25;;                                                                                                                                                                                           
06/01/2026;Vendas - Disponivel DEBITO MASTERCARD;10;91,05;;                                                                                                                                                                                     
06/01/2026;Vendas - Disponivel DEBITO ELO;11;23,43;;                                                                                                                                                                                            
06/01/2026;Vendas - Disponivel DEBITO ELO;12;35,14;;                                                                                                                                                                                            
06/01/2026;Vendas - Disponivel DEBITO MASTERCARD;13;21,54;;                                                                                                                                                                                     
06/01/2026;Vendas - Disponivel DEBITO VISA;14;20,56;;                                                                                                                                                                                           
06/01/2026;Pix enviado - Giovana Kesia Ribeiro Da Silva;15;;100;                                                                                                                                                                                
06/01/2026;Pix recebido - Ifoodcom Agencia De Restaurantes Online Sa;16;250,49;;                                                                                                                                                                
07/01/2026;Vendas - Disponivel DEBITO VISA;17;58,74;;                                                                                                                                                                                           
07/01/2026;Vendas - Disponivel CREDITO VISA;18;71,26;;                                                                                                                                                                                          
07/01/2026;Vendas - Disponivel DEBITO VISA;19;59,72;;                                                                                                                                                                                           
07/01/2026;Pix enviado - Edson Oliveira;20;;85;                                                                                                                                                                                                 
07/01/2026;QR Code Pix enviado - Supermercado Kraus Ltda;21;;257,63;                                                                                                                                                                            
07/01/2026;Pix recebido - Ifoodcom Agencia De Restaurantes Online Sa;22;144,55;;                                                                                                                                                                
08/01/2026;QR Code Pix enviado - Receita Federal;23;;347,45;                                                                                                                                                                                    
08/01/2026;Vendas - Disponivel DEBITO MASTERCARD;24;39,16;;                                                                                                                                                                                     
08/01/2026;Vendas - Disponivel DEBITO MASTERCARD;25;127,27;;                                                                                                                                                                                    
08/01/2026;Vendas - Disponivel DEBITO MASTERCARD;26;34,26;;                                                                                                                                                                                     
08/01/2026;Vendas - Disponivel DEBITO VISA;27;17,62;;                                                                                                                                                                                           
08/01/2026;Vendas - Disponivel DEBITO ELO;28;35,14;;                                                                                                                                                                                            
08/01/2026;Vendas - Disponivel DEBITO VISA;29;14,68;;                                                                                                                                                                                           
08/01/2026;Vendas - Disponivel DEBITO MASTERCARD;30;28,39;;                                                                                                                                                                                     
08/01/2026;Vendas - Disponivel CREDITO ELO;31;27,51;;                                                                                                                                                                                           
08/01/2026;QR Code Pix enviado - Moda Mundial Brasil Pagamentos Ltda;32;;69,99;                                                                                                                                                                 
08/01/2026;Pix recebido - Ifoodcom Agencia De Restaurantes Online Sa;33;29,55;;                                                                                                                                                                 
08/01/2026;Pix recebido - Ifoodcom Agencia De Restaurantes Online Sa;34;403,96;;                                                                                                                                                                
09/01/2026;Vendas - Disponivel CREDITO ELO;35;57,86;;                                                                                                                                                                                           
09/01/2026;Vendas - Disponivel DEBITO ELO;36;146,41;;                                                                                                                                                                                           
09/01/2026;Vendas - Disponivel DEBITO ELO;37;97,61;;                                                                                                                                                                                            
09/01/2026;Pix enviado - Gabriela Matzenbacher Machado;38;;162;                                                                                                                                                                                 
